 extension_name, publisher, version, toolReferenceName, tool_name, canBeReferencedInPrompt, inputSchema.properties, modelDescription
copilot-chat,GitHub,0.35.0,vscodeAPI,copilot_getVSCodeAPI,false,query,"Get comprehensive VS Code API documentation and references for extension development. This tool provides authoritative documentation for VS Code's extensive API surface, including proposed APIs, contribution points, and best practices. Use this tool for understanding complex VS Code API interactions.\n\nWhen to use this tool:\n- User asks about specific VS Code APIs, interfaces, or extension capabilities\n- Need documentation for VS Code extension contribution points (commands, views, settings, etc.)\n- Questions about proposed APIs and their usage patterns\n- Understanding VS Code extension lifecycle, activation events, and packaging\n- Best practices for VS Code extension development architecture\n- API examples and code patterns for extension features\n- Troubleshooting extension-specific issues or API limitations\n\nWhen NOT to use this tool:\n- Creating simple standalone files or scripts unrelated to VS Code extensions\n- General programming questions not specific to VS Code extension development\n- Questions about using VS Code as an editor (user-facing features)\n- Non-extension related development tasks\n- File creation or editing that doesn't involve VS Code extension APIs\n\nCRITICAL usage guidelines:\n1. Always include specific API names, interfaces, or concepts in your query\n2. Mention the extension feature you're trying to implement\n3. Include context about proposed vs stable APIs when relevant\n4. Reference specific contribution points when asking about extension manifest\n5. Be specific about the VS Code version or API version when known\n\nScope: This tool is for EXTENSION DEVELOPMENT ONLY - building tools that extend VS Code itself, not for general file creation or non-extension programming tasks."
copilot-chat,GitHub,0.35.0,fileSearch,copilot_findFiles,false,maxResults|query,"Search for files in the workspace by glob pattern. This only returns the paths of matching files. Use this tool when you know the exact filename pattern of the files you're searching for. Glob patterns match from the root of the workspace folder. Examples:\n- **/*.{js,ts} to match all js/ts files in the workspace.\n- src/** to match all files under the top-level src folder.\n- **/foo/**/*.js to match all js files under any foo folder in the workspace."
copilot-chat,GitHub,0.35.0,textSearch,copilot_findTextInFiles,false,includeIgnoredFiles|includePattern|isRegexp|maxResults|query,"Do a fast text search in the workspace. Use this tool when you want to search with an exact string or regex. If you are not sure what words will appear in the workspace, prefer using regex patterns with alternation (|) or character classes to search for multiple potential words at once instead of making separate searches. For example, use 'function|method|procedure' to look for all of those words at once. Use includePattern to search within files matching a specific pattern, or in a specific file, using a relative path. Use 'includeIgnoredFiles' to include files normally ignored by .gitignore, other ignore files, and `files.exclude` and `search.exclude` settings. Warning: using this may cause the search to be slower, only set it when you want to search in ignored folders like node_modules or build outputs. Use this tool when you want to see an overview of a particular file, instead of using read_file many times to look for code within a file."
copilot-chat,GitHub,0.35.0,applyPatch,copilot_applyPatch,false,explanation|input,"Edit text files. Do not use this tool to edit Jupyter notebooks. `apply_patch` allows you to execute a diff/patch against a text file, but the format of the diff specification is unique to this task, so pay careful attention to these instructions. To use the `apply_patch` command, you should pass a message of the following structure as ""input"":\n\n*** Begin Patch\n[YOUR_PATCH]\n*** End Patch\n\nWhere [YOUR_PATCH] is the actual content of your patch, specified in the following V4A diff format.\n\n*** [ACTION] File: [/absolute/path/to/file] -> ACTION can be one of Add, Update, or Delete.\nAn example of a message that you might pass as ""input"" to this function, in order to apply a patch, is shown below.\n\n*** Begin Patch\n*** Update File: /Users/someone/pygorithm/searching/binary_search.py\n@@class BaseClass\n@@    def search():\n-        pass\n+        raise NotImplementedError()\n\n@@class Subclass\n@@    def search():\n-        pass\n+        raise NotImplementedError()\n\n*** End Patch\nDo not use line numbers in this diff format."
copilot-chat,GitHub,0.35.0,readFile,copilot_readFile,false,endLine|filePath|startLine,"Read the contents of a file.\n\nYou must specify the line range you're interested in. Line numbers are 1-indexed. If the file contents returned are insufficient for your task, you may call this tool again to retrieve more content. Prefer reading larger ranges over doing many small reads."
copilot-chat,GitHub,0.35.0,listDirectory,copilot_listDirectory,false,path,"List the contents of a directory. Result will have the name of the child. If the name ends in /, it's a folder, otherwise a file"
copilot-chat,GitHub,0.35.0,problems,copilot_getErrors,false,filePaths,"Get any compile or lint errors in a specific file or across all files. If the user mentions errors or problems in a file, they may be referring to these. Use the tool to see the same errors that the user is seeing. If the user asks you to analyze all errors, or does not specify a file, use this tool to gather errors for all files. Also use this tool after editing a file to validate the change."
copilot-chat,GitHub,0.35.0,,copilot_readProjectStructure,false,,Get a file tree representation of the workspace.
copilot-chat,GitHub,0.35.0,changes,copilot_getChangedFiles,false,repositoryPath|sourceControlState,Get git diffs of current file changes in a git repository. Don't forget that you can use run_in_terminal to run git commands in a terminal as well.
copilot-chat,GitHub,0.35.0,testFailure,copilot_testFailure,false,,Includes test failure information in the prompt.
copilot-chat,GitHub,0.35.0,updateUserPreferences,copilot_updateUserPreferences,true,facts,"Update the user's preferences file with new information about the user and their coding preferences, based on the current chat history."
copilot-chat,GitHub,0.35.0,newWorkspace,copilot_createNewWorkspace,false,query,"Get comprehensive setup steps to help the user create complete project structures in a VS Code workspace. This tool is designed for full project initialization and scaffolding, not for creating individual files.\n\nWhen to use this tool:\n- User wants to create a new complete project from scratch\n- Setting up entire project frameworks (TypeScript projects, React apps, Node.js servers, etc.)\n- Initializing Model Context Protocol (MCP) servers with full structure\n- Creating VS Code extensions with proper scaffolding\n- Setting up Next.js, Vite, or other framework-based projects\n- User asks for ""new project"", ""create a workspace"", ""set up a [framework] project""\n- Need to establish complete development environment with dependencies, config files, and folder structure\n\nWhen NOT to use this tool:\n- Creating single files or small code snippets\n- Adding individual files to existing projects\n- Making modifications to existing codebases\n- User asks to ""create a file"" or ""add a component""\n- Simple code examples or demonstrations\n- Debugging or fixing existing code\n\nThis tool provides complete project setup including:\n- Folder structure creation\n- Package.json and dependency management\n- Configuration files (tsconfig, eslint, etc.)\n- Initial boilerplate code\n- Development environment setup\n- Build and run instructions\n\nUse other file creation tools for individual files within existing projects."
copilot-chat,GitHub,0.35.0,getProjectSetupInfo,copilot_getProjectSetupInfo,false,projectType,Do not call this tool without first calling the tool to create a workspace. This tool provides a project setup information for a Visual Studio Code workspace based on a project type and programming language.
copilot-chat,GitHub,0.35.0,installExtension,copilot_installExtension,false,id|name,Install an extension in VS Code. Use this tool to install an extension in Visual Studio Code as part of a new workspace creation process only.
copilot-chat,GitHub,0.35.0,runCommand,copilot_runVscodeCommand,false,args|commandId|name,Run a command in VS Code. Use this tool to run a command in Visual Studio Code as part of a new workspace creation process only.
copilot-chat,GitHub,0.35.0,createJupyterNotebook,copilot_createNewJupyterNotebook,false,query,"Generates a new Jupyter Notebook (.ipynb) in VS Code. Jupyter Notebooks are interactive documents commonly used for data exploration, analysis, visualization, and combining code with narrative text. Prefer creating plain Python files or similar unless a user explicitly requests creating a new Jupyter Notebook or already has a Jupyter Notebook opened or exists in the workspace."
copilot-chat,GitHub,0.35.0,insertEdit,copilot_insertEdit,false,code|explanation|filePath,"Insert new code into an existing file in the workspace. Use this tool once per file that needs to be modified, even if there are multiple changes for a file. Generate the ""explanation"" property first.\nThe system is very smart and can understand how to apply your edits to the files, you just need to provide minimal hints.\nAvoid repeating existing code, instead use comments to represent regions of unchanged code. Be as concise as possible. For example:\n// ...existing code...\n{ changed code }\n// ...existing code...\n{ changed code }\n// ...existing code...\n\nHere is an example of how you should use format an edit to an existing Person class:\nclass Person {\n\t// ...existing code...\n\tage: number;\n\t// ...existing code...\n\tgetAge() {\n\treturn this.age;\n\t}\n}"
copilot-chat,GitHub,0.35.0,createFile,copilot_createFile,false,content|filePath,This is a tool for creating a new file in the workspace. The file will be created with the specified content. The directory will be created if it does not already exist. Never use this tool to edit a file that already exists.
copilot-chat,GitHub,0.35.0,createDirectory,copilot_createDirectory,false,dirPath,"Create a new directory structure in the workspace. Will recursively create all directories in the path, like mkdir -p. You do not need to use this tool before using create_file, that tool will automatically create the needed directories."
copilot-chat,GitHub,0.35.0,openSimpleBrowser,copilot_openSimpleBrowser,false,url,"Preview a website or open a URL in the editor's Simple Browser. Useful for quickly viewing locally hosted websites, demos, or resources without leaving the coding environment."
copilot-chat,GitHub,0.35.0,replaceString,copilot_replaceString,false,filePath|newString|oldString,"This is a tool for making edits in an existing file in the workspace. For moving or renaming files, use run in terminal tool with the 'mv' command instead. For larger edits, split them into smaller edits and call the edit tool multiple times to ensure accuracy. Before editing, always ensure you have the context to understand the file's contents and context. To edit a file, provide: 1) filePath (absolute path), 2) oldString (MUST be the exact literal text to replace including all whitespace, indentation, newlines, and surrounding code etc), and 3) newString (MUST be the exact literal text to replace \\`oldString\\` with (also including all whitespace, indentation, newlines, and surrounding code etc.). Ensure the resulting code is correct and idiomatic.). Each use of this tool replaces exactly ONE occurrence of oldString.\n\nCRITICAL for \\`oldString\\`: Must uniquely identify the single instance to change. Include at least 3 lines of context BEFORE and AFTER the target text, matching whitespace and indentation precisely. If this string matches multiple locations, or does not match exactly, the tool will fail. Never use 'Lines 123-456 omitted' from summarized documents or ...existing code... comments in the oldString or newString."
copilot-chat,GitHub,0.35.0,multiReplaceString,copilot_multiReplaceString,false,explanation|replacements,"This tool allows you to apply multiple replace_string_in_file operations in a single call, which is more efficient than calling replace_string_in_file multiple times. It takes an array of replacement operations and applies them sequentially. Each replacement operation has the same parameters as replace_string_in_file: filePath, oldString, newString, and explanation. This tool is ideal when you need to make multiple edits across different files or multiple edits in the same file. The tool will provide a summary of successful and failed operations."
copilot-chat,GitHub,0.35.0,editNotebook,copilot_editNotebook,false,cellId|editType|filePath|language|newCode,"This is a tool for editing an existing Notebook file in the workspace. Generate the ""explanation"" property first.\nThe system is very smart and can understand how to apply your edits to the notebooks.\nWhen updating the content of an existing cell, ensure newCode preserves whitespace and indentation exactly and does NOT include any code markers such as (...existing code...)."
copilot-chat,GitHub,0.35.0,runNotebookCell,copilot_runNotebookCell,false,cellId|continueOnError|filePath|reason,"This is a tool for running a code cell in a notebook file directly in the notebook editor. The output from the execution will be returned. Code cells should be run as they are added or edited when working through a problem to bring the kernel state up to date and ensure the code executes successfully. Code cells are ready to run and don't require any pre-processing. If asked to run the first cell in a notebook, you should run the first code cell since markdown cells cannot be executed. NOTE: Avoid executing Markdown cells or providing Markdown cell IDs, as Markdown cells cannot be  executed."
copilot-chat,GitHub,0.35.0,getNotebookSummary,copilot_getNotebookSummary,false,filePath,"This is a tool returns the list of the Notebook cells along with the id, cell types, line ranges, language, execution information and output mime types for each cell. This is useful to get Cell Ids when executing a notebook or determine what cells have been executed and what order, or what cells have outputs. If required to read contents of a cell use this to determine the line range of a cells, and then use read_file tool to read a specific line range. Requery this tool if the contents of the notebook change."
copilot-chat,GitHub,0.35.0,readNotebookCellOutput,copilot_readNotebookCellOutput,false,cellId|filePath,This tool will retrieve the output for a notebook cell from its most recent execution or restored from disk. The cell may have output even when it has not been run in the current kernel session. This tool has a higher token limit for output length than the runNotebookCell tool.
copilot-chat,GitHub,0.35.0,fetch,copilot_fetchWebPage,false,query|urls,Fetches the main content from a web page. This tool is useful for summarizing or analyzing the content of a webpage. You should use this tool when you think the user is looking for information from a specific webpage.
copilot-chat,GitHub,0.35.0,findTestFiles,copilot_findTestFiles,false,filePaths,"For a source code file, find the file that contains the tests. For a test file find the file that contains the code under test."
copilot-chat,GitHub,0.35.0,docInfo,copilot_getDocInfo,false,filePaths,Find information about how to document it a symbol like a class or function. This tool is useful for generating documentation comments for code symbols. You should use this tool when you think the user is looking for information about how to document a specific code symbol.
copilot-chat,GitHub,0.35.0,searchResults,copilot_getSearchResults,false,,The results from the search view
copilot-chat,GitHub,0.35.0,githubRepo,copilot_githubRepo,false,query|repo,Searches a GitHub repository for relevant source code snippets. Only use this tool if the user is very clearly asking for code snippets from a specific GitHub repository. Do not use this tool for Github repos that the user has open in their workspace.
copilot-chat,GitHub,0.35.0,,copilot_toolReplay,false,toolCallArgs|toolCallId|toolName,Replays a tool call from a previous chat session.
copilot-chat,GitHub,0.35.0,memory,copilot_memory,true,command|file_text|insert_line|insert_text|new_path|new_str|old_path|old_str|path|view_range,"Manage persistent memory across conversations. This tool allows you to create, view, update, and delete memory files that persist between chat sessions. Use this to remember important information about the user, their preferences, project context, or anything that should be recalled in future conversations. Available commands: view (list/read memories), create (new memory file), str_replace (edit content), insert (add content), delete (remove memory), rename (change filename)."
copilot-chat,GitHub,0.35.0,editFiles,copilot_editFiles,false,,"This is a placeholder tool, do not use"
vscode-pull-request-github,GitHub,0.124.0,copilotCodingAgent,github-pull-request_copilot-coding-agent,true,body|existingPullRequest|title,"Completes the provided task using an asynchronous coding agent. Use when the user wants copilot continue completing a task in the background or asynchronously. IMPORTANT: Use this tool LAST/FINAL when users mention '#github-pull-request_copilot-coding-agent' in their query. This indicates they want the task/job implemented by the remote coding agent after all other analysis, planning, and preparation is complete. Call this tool at the END to hand off the fully-scoped task to the asynchronous GitHub Copilot coding agent. The agent will create a new branch, implement the changes, and open a pull request. Always use this tool as the final step when the hashtag is mentioned, after completing any other necessary tools or analysis first."
vscode-pull-request-github,GitHub,0.124.0,issue_fetch,github-pull-request_issue_fetch,true,issueNumber|repo,Get a GitHub issue/PR's details as a JSON object.
vscode-pull-request-github,GitHub,0.124.0,notification_fetch,github-pull-request_notification_fetch,false,thread_id,Get a GitHub notification's details as a JSON object.
vscode-pull-request-github,GitHub,0.124.0,issue_summarize,github-pull-request_issue_summarize,false,body|comments|fileChanges|owner|repo|title,Summarizes a GitHub issue or pull request. A summary is a great way to describe an issue or pull request.
vscode-pull-request-github,GitHub,0.124.0,notification_summarize,github-pull-request_notification_summarize,false,body|comments|fileChanges|itemNumber|itemType|lastReadAt|lastUpdatedAt|notificationKey|owner|repo|threadId|title|unread,Summarizes a GitHub notification. A summary is a great way to describe a notification.
vscode-pull-request-github,GitHub,0.124.0,suggest-fix,github-pull-request_suggest-fix,true,issueNumber|repo,Summarize and suggest a fix for a GitHub issue.
vscode-pull-request-github,GitHub,0.124.0,searchSyntax,github-pull-request_formSearchQuery,true,naturalLanguageString|repo,Converts natural language to a GitHub search query. Should ALWAYS be called before doing a search.
vscode-pull-request-github,GitHub,0.124.0,doSearch,github-pull-request_doSearch,true,query|repo,Execute a GitHub search given a well formed GitHub search query. Call github-pull-request_formSearchQuery first to get good search syntax and pass the exact result in as the 'query'.
vscode-pull-request-github,GitHub,0.124.0,renderIssues,github-pull-request_renderIssues,true,arrayOfIssues|totalIssues,Render issue items from an issue search in a markdown table. The markdown table will be displayed directly to the user by the tool. No further display should be done after this!
vscode-pull-request-github,GitHub,0.124.0,activePullRequest,github-pull-request_activePullRequest,true,,"Get comprehensive information about the active GitHub pull request (PR). The active PR is the one that is currently checked out. This includes the PR title, full description, list of changed files, review comments, PR state, and status checks/CI results. For PRs created by Copilot, it also includes the session logs which indicate the development process and decisions made by the coding agent. When asked about the active or current pull request, do this first! Use this tool for any request related to ""current changes,"" ""pull request details,"" ""what changed,"" ""PR status,"" or similar queries even if the user does not explicitly mention ""pull request."" When asked to use this tool, ALWAYS use it."
vscode-pull-request-github,GitHub,0.124.0,openPullRequest,github-pull-request_openPullRequest,true,,"Get comprehensive information about the GitHub pull request (PR) which is currently visible, but not necessarily checked out. This includes the PR title, full description, list of changed files, review comments, PR state, and status checks/CI results. For PRs created by Copilot, it also includes the session logs which indicate the development process and decisions made by the coding agent. When asked about the currently open pull request, do this first! Use this tool for any request related to ""pull request details,"" ""what changed,"" ""PR status,"" or similar queries even if the user does not explicitly mention ""pull request."" When asked to use this tool, ALWAYS use it."
vscode-mermaid-chart,MermaidChart,2.5.6,get_syntax_docs,get-syntax-docs-mermaid,true,file,"ALWAYS use this tool Before creating, editing, or working with any Mermaid diagram. Get the syntax documentation for a specific diagram type.\n\nAvailable diagram types:\n- `architecture.md`: Cloud/CI/CD Architecture Diagram\n- `block.md`: Block Diagram\n- `c4.md`: C4 Diagram\n- `classDiagram.md`: Class Diagram\n- `entityRelationshipDiagram.md`: Entity Relationship Diagram\n- `flowchart.md`: Flowchart\n- `gantt.md`: Gantt Chart\n- `gitgraph.md`: Git Graph Diagram\n- `kanban.md`: Kanban Diagram\n- `mindmap.md`: Mindmap\n- `packet.md`: Packet Diagram\n- `pie.md`: Pie Chart\n- `quadrantChart.md`: Quadrant Chart\n- `requirementDiagram.md`: Requirement Diagram\n- `sankey.md`: Sankey Diagram\n- `sequenceDiagram.md`: Sequence Diagram\n- `stateDiagram.md`: State Diagram\n- `timeline.md`: Timeline\n- `userJourney.md`: User Journey Diagram\n- `xyChart.md`: XY Chart"
vscode-mermaid-chart,MermaidChart,2.5.6,mermaid-diagram-validator,mermaid-diagram-validator,true,code,"Validate a Mermaid diagram. ALWAYS use this tool after when creating, editing, or working with any Mermaid diagram and before preview. The Mermaid Diagram Validator is an ESSENTIAL tool for ensuring the accuracy and correctness of Mermaid diagrams. It MUST be used IMMEDIATELY AFTER CREATING, EDITING, or WORKING WITH any Mermaid diagram or BEFORE PREVIEWING it. This tool is CRUCIAL for checking, verifying, testing, and debugging any Mermaid diagram code for syntax errors or formatting issues. It ensures that diagrams are correctly formatted and free of errors before they are rendered or visualized. This includes diagrams created from any source file, such as TypeScript, Java, or any other programming language. By using this tool, you can prevent errors and ensure that your diagrams are accurate and reliable. ALWAYS validate your diagrams to maintain high-quality visualizations and avoid potential issues during rendering."
vscode-mermaid-chart,MermaidChart,2.5.6,mermaid-diagram-preview,mermaid-diagram-preview,true,code|documentUri|showSource,"Preview a Mermaid diagram. ALWAYS use this tool after validation when creating, editing, or working with any Mermaid diagram. The code paramter of this MUST CONTAIN ONLY the Mermaid code block without any surrounding or other content. IMPORTANT USAGE PATTERN: For EXISTING Mermaid diagram files, ALWAYS pass the documentUri parameter (NOT the code). Only use the code parameter for NEW diagrams that don't exist in files yet or when you've extracted ONLY the Mermaid code block from markdown. This tool renders and visualizes diagrams including flowcharts, sequence diagrams, class diagrams, ER diagrams, and other chart types. The diagram code should include any YAML frontmatter blocks (like id, title, config) if present."
microsoft-testing,ms-azure-load-testing,0.1.17,create_load_test_script,create_load_test_script,true,endpoint_url|input_file_path|input_file_type|testType|test_duration_seconds|virtual_user_count,"Generates a load test script based on Locust or JMeter from a URL endpoint or an input file (Postman, Insomnia, or HTTP file). If the user does not provide required parameters (such as endpoint_url or input_file_path), the tool will interactively prompt the user for the missing information during execution, so still you can call this tool to generate script. Use this tool to quickly create a Locust script for load testing."
microsoft-testing,ms-azure-load-testing,0.1.17,select_azure_load_testing_resource,select_azure_load_testing_resource,true,,"Selects and returns the Azure Load Testing resource ID. If the user does not specify a resource, the tool will prompt the user to select one from available resources during execution. Use this tool to choose a resource for test execution and analysis."
microsoft-testing,ms-azure-load-testing,0.1.17,run_load_test_in_azure,run_load_test_in_azure,true,azure_load_testing_resourceId|configuration_file_path|script_file_path|test_duration_seconds|virtual_user_count,"Run a load test using Azure Load Testing. If a load test configuration file exists in the repository, it should be favored over providing a script path or manual parameters. If there is no configuration file, then a test script path needs to be provided. If there are no test scripts, then use the create_load_test_script tool to generate a script."
microsoft-testing,ms-azure-load-testing,0.1.17,select_azure_load_test_run,select_azure_load_test_run,true,azure_load_testing_resourceId,"Selects a specific test run from an Azure Load Testing resource. If the user does not specify a resource or test run, the tool will prompt the user to select from available options during execution. Use this tool to choose a test run for further analysis."
microsoft-testing,ms-azure-load-testing,0.1.17,get_azure_load_test_run_insights,get_azure_load_test_run_insights,true,azure_load_testing_resourceId|test_run_id,"Retrieves performance and diagnostic insights from a specific Azure Load Testing run using its test run ID and resource ID. If any required parameters are missing, the tool will prompt the user to provide them during execution. Use this tool to analyze test results."
vscode-apimanagement,ms-azuretools,1.3.0,get-available-apim-policies,get-available-apim-policies,true,,Retrieve available APIM policies.
vscode-azure-github-copilot,ms-azuretools,1.0.153,azure_get_azure_verified_module,azure_bicep-get_azure_verified_module,true,resourceType,"This tools gets Bicep module code from Azure Verified Modules for a given resource type. If you are asked to generate Bicep code, call this function multiple times once for each resource type to search for available modules and prefer using the module instead of writing raw Bicep code. You must always use this tool to discover the Bicep module for every Bicep schema you get and always prefer using existing Bicep modules if there is one over writing raw Bicep code."
vscode-azure-github-copilot,ms-azuretools,1.0.153,azure_recommend_custom_modes,azure_development-recommend_custom_modes,true,intent,This tool captures user intent about Azure-related topics and recommends custom modes to enhance Azure workflows. Always invoke this tool once before doing anything related to Azure.
vscode-azure-github-copilot,ms-azuretools,1.0.153,azure_query_azure_resource_graph,azure_resources-query_azure_resource_graph,true,arg_intent|useDefaultSubscriptionFilter,"This tool queries Azure Resource Graph (ARG) for information about resources, subscriptions, subscriptionIds or resource groups, that the user has access to in Azure including any Azure resource types including Azure Functions, Azure App Service, virtual machines, Azure Cache for Redis, virtual networks (VNET), etc. This tool should be used to obtain details about the user's resources (such as resource ids, status, os type, disk type, SKU, size, etc.), subscriptions (such as subscription id, subscription name, etc.) or resource groups (such as resource group id, name, etc...). If the user is asking about **THEIR RESOURCES** then this tool **IS** appropriate. This tool should not be used to generally learn about Azure resources. If the user is asking **CONCEPTUAL QUESTIONS** about Azure resources, this tool **IS NOT** appropriate."
vscode-azure-github-copilot,ms-azuretools,1.0.153,azure_get_auth_context,azure_auth-get_auth_context,true,,This tool gets the full Azure authentication context that will be used by Azure related tools for the Agent. Use this tool to inform the user when they asked for such information or when they express that the authentication context being used is incorrect.
vscode-azure-github-copilot,ms-azuretools,1.0.153,azure_set_auth_context,azure_auth-set_auth_context,true,operation|tenantIdOrName,This tool modifies the Azure authentication context. Azure authentication context is used by the Azure related tools for the Agent. Use this tool when the user expresses the intent to update the Azure authentication context to use. You may suggest this tool if it can be inferred from the conversation that the current Azure authentication context is incorrect
vscode-azure-github-copilot,ms-azuretools,1.0.153,azure_get_dotnet_template_tags,azure_dotnet_templates-get_tags,true,,"Retrieves the list of tags that can be used to filter the available dotnet templates. Call this when the user needs help finding a template for a dotnet project, or before generating a `dotnet new` command to create a project. Pick the tag that best matches the user's intent, then call 'azure_dotnet_templates-get_templates_for_tag' to get the templates matching that tag. Returns a list of available tags that can be used to filter the templates."
vscode-azure-github-copilot,ms-azuretools,1.0.153,azure_get_dotnet_templates_for_tag,azure_dotnet_templates-get_templates_for_tag,true,tag,"Retrieves the list of dotnet project templates available for `dotnet new` commands that match the given tag. Call this when the user needs help finding a template for a dotnet project, or before generating a `dotnet new` command to create a project. Use the names and descriptions of the templates to decide which is the best given the context. Returns a list of available templates, including the short name, full name, and a description."
vscode-azureresourcegroups,ms-azuretools,0.11.7,azureActivityLog,azureResources_getAzureActivityLog,true,,Gets the Azure activity log
al,ms-dynamics-smb,17.0.1869541,al_build,al_build,true,,"Builds the current AL project with a single command. The AL compiler checks for errors and warnings, ensuring your code is correct and up to date, and then generates a deployable .app file. Agents should use this tool to quickly validate and package AL projects, streamlining the development workflow and reducing manual steps."
al,ms-dynamics-smb,17.0.1869541,al_download_symbols,al_downloadsymbols,true,,"Automatically downloads all dependent symbols required by the current AL project. This ensures your project has access to the latest symbols from referenced apps and the platform, enabling accurate IntelliSense, validation, and builds. Agents should use this tool to keep dependencies up to date and avoid missing symbol errors during development. System symbols are downloaded automatically if platform and application exist in the app.json file."
al,ms-dynamics-smb,17.0.1869541,al_get_package_dependencies,al_getpackagedependencies,false,packageName,"Automatically retrieves all dependent apps required by the current AL project or a specified package. This ensures your project has access to the latest symbols from referenced apps and the platform, enabling accurate IntelliSense, validation, and builds. Agents should use this tool to keep dependencies up to date and avoid missing symbol errors during development."
al,ms-dynamics-smb,17.0.1869541,al_download_source,al_downloadsource,true,,"Inputs: none. Outputs: { success: boolean, error?: string }. Invokes the extension command to download AL source code for the workspace from the Business Central environment set in your launch.json, returning success or failure."
al,ms-dynamics-smb,17.0.1869541,al_clear_credentials_cache,al_clearcredentialscache,true,,"Inputs: none. Outputs: { success: boolean, error?: string }. Clears cached authentication credentials via the AL extension command."
al,ms-dynamics-smb,17.0.1869541,al_insert_event,al_insertevent,true,,"Inputs: none. Outputs: { success: boolean, error?: string }. Inserts an event subscriber or publisher via the AL extension command."
al,ms-dynamics-smb,17.0.1869541,al_clear_profile_codelenses,al_clearprofilecodelenses,true,,"Inputs: none. Outputs: { success: boolean, error?: string }. Clears profile code lenses in the current AL workspace."
al,ms-dynamics-smb,17.0.1869541,al_initalize_snapshot_debugging,al_initalizesnapshotdebugging,true,,"Inputs: none. Outputs: { success: boolean, error?: string }. Initializes a snapshot debugging session via the AL extension command."
